id	包含卡牌
11276	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000520,1;1000540,1"
11277	"1000010,2;1000020,2;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000240,1;1000270,1;1000590,1;1000640,1;1000650,1"
11278	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11279	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1"
11280	"1000010,2;1000020,2;1000040,1;1000080,1;1000120,1;1000140,1;1000150,1;1000240,1;1000250,1;1000270,1;1000590,1;1000640,1;1000650,1"
11281	"1000030,3;1000070,1;1000160,1;1000180,1;1000530,1;1000540,1;1000170,1"
11282	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1"
11283	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11284	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11285	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11286	"1000010,2;1000020,3;1000040,1;1000140,1;1000210,1;1000590,1;1000610,1"
11287	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11288	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11289	"1000010,2;1000020,3;1000040,1;1000110,1;1000140,1;1000210,1;1000590,1;1000610,1"
11290	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11291	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11292	"1000010,3;1000090,1;1000150,1;1000510,1;1000620,1;1000080,1;1000110,1;1000630,1"
11293	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11294	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11295	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1;1000630,1"
11296	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11297	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11298	"1000010,3;1000020,1;1000080,1;1000090,1;1000110,1;1000150,1;1000240,1;1000510,1;1000630,2"
11299	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11300	"1000330,3;1000370,1;1000540,1;1000560,1;1000590,1;1000340,1;1000390,1;1000400,1;1000580,1"
11301	"1000010,3;1000040,1;1000120,1;1000510,1;1000540,1;1000590,1;1000020,1;1000080,1"
11302	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11303	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1;1000580,1"
11304	"1000010,2;1000020,2;1000040,1;1000080,2;1000120,1;1000140,1;1000150,1;1000210,1;1000240,1;1000250,1;1000270,1;1000590,1;1000640,1;1000650,1"
11305	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11306	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000440,1;1000520,1;1000540,1;1000580,1"
11307	"1000010,2;1000020,2;1000040,1;1000080,2;1000120,1;1000140,2;1000150,1;1000210,1;1000240,1;1000250,1;1000270,1;1000590,1;1000640,1;1000650,1"
11308	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11309	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000620,1"
11310	"1000010,3;1000020,1;1000040,1;1000090,1;1000110,1;1000140,1;1000550,1;1000590,1"
11311	"1000030,3;1000060,1;1000130,1;1000170,1;1000200,1;1000550,1;1000590,1;1090010,2;1090020,2;1090030,2"
11312	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000620,1"
11313	"1000010,2;1000020,3;1000040,1;1000110,1;1000140,2;1000210,1;1000250,1;1000590,1;1000610,1;1000630,1"
11314	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11315	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000420,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000610,1;1000620,1"
11316	"1000010,2;1000020,3;1000040,1;1000110,1;1000140,2;1000210,1;1000250,1;1000590,1;1000610,1;1000630,1"
11317	"1000030,3;1000070,1;1000160,1;1000180,1;1000200,1;1000530,1;1000540,1;1000600,1;1000170,1"
11318	"1000330,2;1000340,2;1000350,2;1000360,1;1000380,1;1000390,1;1000400,1;1000420,1;1000430,1;1000440,1;1000520,1;1000540,1;1000580,1;1000610,1;1000620,1"
